MONTH,DAY,YEAR,WEEKDAY,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
Jul,17,2016,Sunday,70,42,25,17,9,18,41,83,123,195,309,410,445,405,405,394,451,402,333,210,207,135,72,41
Jul,18,2016,Monday,27,9,9,12,53,88,149,213,189,208,275,302,290,315,435,550,733,623,334,218,189,145,84,76
Jul,19,2016,Tuesday,33,24,36,27,43,82,154,210,201,208,251,290,314,310,452,553,748,653,327,228,207,183,128,89
Jul,20,2016,Wednesday,34,31,35,17,46,88,145,211,212,202,249,294,320,356,466,552,775,642,363,279,261,161,86,65
Jul,21,2016,Thursday,32,26,31,28,58,95,171,208,180,201,241,279,357,373,439,543,762,628,396,260,229,173,120,93
Jul,22,2016,Friday,38,26,39,24,55,85,144,183,208,244,284,360,420,458,565,569,739,679,526,314,235,179,139,111
Jul,23,2016,Saturday,51,38,15,14,24,40,70,106,174,287,304,363,334,308,380,352,382,354,291,219,221,196,112,82
Jul,24,2016,Sunday,50,42,22,14,10,30,28,80,127,212,305,394,447,461,436,410,381,347,285,215,185,106,64,43
Jul,25,2016,Monday,28,26,13,15,34,86,155,181,187,244,261,286,291,317,450,535,718,595,342,230,189,131,89,83
Jul,26,2016,Tuesday,26,18,37,26,37,93,174,206,183,206,236,275,329,305,477,516,756,646,361,209,198,168,97,77
Jul,27,2016,Wednesday,37,24,38,25,34,96,159,198,192,212,221,289,315,346,443,570,816,647,386,241,187,163,106,78
Jul,28,2016,Thursday,30,30,36,20,40,107,140,209,171,211,224,268,338,322,467,541,710,654,416,272,212,165,106,78
Jul,29,2016,Friday,40,29,38,28,46,78,135,211,212,247,298,340,440,374,543,600,821,845,563,374,269,205,141,100
Jul,30,2016,Saturday,54,43,29,19,18,34,64,122,173,263,366,423,417,420,412,438,396,383,338,244,211,178,127,87
Jul,31,2016,Sunday,55,49,21,15,12,24,39,88,145,218,300,399,465,482,439,415,389,343,293,209,180,133,70,36
Aug,1,2016,Monday,18,24,13,15,42,100,156,190,187,241,267,298,293,325,408,541,653,616,314,221,174,119,91,68
Aug,2,2016,Tuesday,24,31,34,27,44,93,139,207,209,223,265,293,305,325,459,599,720,636,394,252,193,190,105,94
Aug,3,2016,Wednesday,25,26,41,22,43,103,165,211,177,238,256,315,312,335,473,567,757,707,428,283,203,163,108,74
Aug,4,2016,Thursday,27,32,33,26,48,97,143,239,189,225,253,312,289,277,442,529,712,578,347,216,172,116,116,83
